date,maxtemp,mintemp,meantemp,precip,meanpressure,humidity,meandewpt
01-01-2021,24,12,18,0,1015.67,100,11
02-01-2021,23,9,16,0,1018.75,100,13
03-01-2021,23,10,16,0,1019.15,100,12
04-01-2021,24,10,17,0,1016.93,100,13
05-01-2021,25,10,18,0,1015.19,100,11
06-01-2021,24,11,18,0,1012.71,100,13
07-01-2021,22,14,18,0,1011.52,94,10
08-01-2021,20,12,16,0,1014.24,100,9
09-01-2021,21,9,15,0,1015.62,100,5
10-01-2021,19,7,13,0,1017,94,3
11-01-2021,18,3,10,0,1017.54,70,-3
12-01-2021,19,4,12,0,1017.24,75,-5
13-01-2021,20,4,12,0,1017.75,70,-1
14-01-2021,20,5,12,0,1018.81,71,2
15-01-2021,22,7,14,0,1018.33,77,3
16-01-2021,21,9,15,0,1017.35,74,3
17-01-2021,20,5,12,0,1018.52,100,3
18-01-2021,21,8,14,0,1021.26,93,5
19-01-2021,23,6,14,0,1022.69,87,1
20-01-2021,22,7,14,0,1022.24,76,2
21-01-2021,22,9,16,0,1020.79,63,5
22-01-2021,24,12,18,0,1021.53,67,6
23-01-2021,26,11,18,0,1019.98,77,9
24-01-2021,28,14,21,0,1018.49,82,12
25-01-2021,27,17,22,0.2,1017.9,77,14
26-01-2021,18,14,16,19,1017.47,100,15
27-01-2021,19,10,14,0,1019.25,100,12
28-01-2021,21,9,15,0,1020.22,100,11
29-01-2021,25,10,18,0,1018.13,100,10
30-01-2021,25,10,18,0,1016.37,100,12
31-01-2021,26,11,18,0,1015.55,100,11
01-02-2021,24,12,18,0,1017.23,94,13
02-02-2021,25,14,20,0,1019.45,77,11
03-02-2021,25,13,19,0,1018.25,88,13
04-02-2021,26,15,20,0,1014.35,94,14
05-02-2021,26,16,21,0,1013.88,94,13
06-02-2021,23,12,18,0,1016.72,72,3
07-02-2021,24,8,16,0,1017.09,71,2
08-02-2021,25,9,17,0,1015.66,67,5
09-02-2021,23,11,17,0,1016.67,76,2
10-02-2021,24,10,17,0,1016.79,67,2
11-02-2021,24,8,16,0,1016.82,62,2
12-02-2021,24,11,18,0,1019.89,64,5
13-02-2021,26,11,18,0,1022.08,72,5
14-02-2021,27,8,18,0,1022.65,76,2
15-02-2021,29,11,20,0,1022,63,3
16-02-2021,32,13,22,0,1019.68,67,4
17-02-2021,32,14,23,0,1018.52,59,5
18-02-2021,32,14,23,0,1018.47,72,8
19-02-2021,33,16,24,0,1015.39,64,8
20-02-2021,31,17,24,0,1008.35,49,6
21-02-2021,27,14,20,0,1009.08,59,0
22-02-2021,28,11,20,0,1013,51,-3
23-02-2021,27,12,20,0,1016.02,48,-3
24-02-2021,27,11,19,0,1018.61,54,-4
25-02-2021,30,14,22,0,1016.19,41,-1
26-02-2021,29,13,21,0,1014.3,51,0
27-02-2021,31,12,22,0,1015.17,44,1
28-02-2021,33,17,25,0,1014.47,40,3
01-03-2021,32,18,25,0,1013.08,49,7
02-03-2021,29,19,24,6,1012.37,73,12
03-03-2021,28,17,22,0,1011.48,60,5
04-03-2021,28,14,21,0,1011.09,59,3
05-03-2021,28,13,20,0,1012.21,71,2
06-03-2021,30,13,22,0,1011.73,59,1
07-03-2021,31,16,24,0,1009.62,42,2
08-03-2021,30,19,24,0,1008.61,46,6
